ID,Subject,Grade,Credits
21031A0236,MATHEMATICS-III,F,0
21031A0237,MATHEMATICS-III,D,3
21031A0238,MATHEMATICS-III,F,0
21031A0238,APPLIED PHYSICS,F,0
21031A0302,ENGINEERING CHEMISTRY,F,0
21031A0302,THERMODYNAMICS,D,3
21031A0305,MATHEMATICS-II,F,0
21031A0305,ENGINEERING CHEMISTRY,F,0
21031A0305,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,E,3
21031A0306,ENGINEERING CHEMISTRY,F,0
21031A0306,THERMODYNAMICS,D,3
21031A0307,ENGINEERING CHEMISTRY,F,0
21031A0309,ENGINEERING CHEMISTRY,F,0
21031A0309,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,E,3
21031A0309,THERMODYNAMICS,C,3
21031A0310,ENGINEERING CHEMISTRY,ABSENT,0
21031A0311,MATHEMATICS-II,F,0
21031A0311,ENGINEERING CHEMISTRY,F,0
21031A0311,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,F,0
21031A0312,THERMODYNAMICS,D,3
21031A0313,ENGINEERING CHEMISTRY,F,0
21031A0314,MATHEMATICS-II,F,0
21031A0314,ENGINEERING CHEMISTRY,F,0
21031A0315,MATHEMATICS-II,F,0
21031A0315,ENGINEERING CHEMISTRY,ABSENT,0
21031A0315,THERMODYNAMICS,E,3
21031A0316,ENGINEERING CHEMISTRY,F,0
21031A0316,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,F,0
21031A0317,ENGINEERING CHEMISTRY,F,0
21031A0317,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,E,3
21031A0317,THERMODYNAMICS,E,3
21031A0318,ENGINEERING CHEMISTRY,F,0
21031A0319,MATHEMATICS-II,E,3
21031A0319,ENGINEERING CHEMISTRY,F,0
21031A0320,MATHEMATICS-II,F,0
21031A0320,ENGINEERING CHEMISTRY,F,0
21031A0320,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,E,3
21031A0320,THERMODYNAMICS,D,3
21031A0321,MATHEMATICS-II,F,0
21031A0321,ENGINEERING CHEMISTRY,F,0
21031A0321,THERMODYNAMICS,F,0
21031A0322,ENGINEERING CHEMISTRY,F,0
21031A0324,MATHEMATICS-II,E,3
21031A0324,ENGINEERING CHEMISTRY,F,0
21031A0324,ENGINEERING MECHANICS,C,3
21031A0324,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,E,3
21031A0324,THERMODYNAMICS,E,3
21031A0325,MATHEMATICS-II,F,0
21031A0325,ENGINEERING CHEMISTRY,F,0
21031A0325,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,F,0
21031A0325,THERMODYNAMICS,E,3
21031A0326,MATHEMATICS-II,F,0
21031A0326,ENGINEERING CHEMISTRY,F,0
21031A0326,ENGINEERING MECHANICS,F,0
21031A0326,THERMODYNAMICS,E,3
21031A0328,ENGINEERING CHEMISTRY,ABSENT,0
21031A0328,THERMODYNAMICS,C,3
21031A0329,ENGINEERING CHEMISTRY,D,3
21031A0330,MATHEMATICS-II,F,0
21031A0330,ENGINEERING CHEMISTRY,F,0
21031A0401,APPLIED PHYSICS,F,0
21031A0401,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0401,BASIC ELECTRICAL ENGINEERING,F,0
21031A0401,ELECTRONIC WORKSHOP LABORATORY,C,1.5
21031A0402,MATHEMATICS-II,E,3
21031A0402,APPLIED PHYSICS,F,0
21031A0402,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
21031A0402,NETWORK ANALYSIS,F,0
21031A0403,APPLIED PHYSICS,C,3
21031A0405,APPLIED PHYSICS,C,3
21031A0405,NETWORK ANALYSIS,F,0
21031A0405,BASIC ELECTRICAL ENGINEERING,F,0
21031A0406,APPLIED PHYSICS,D,3
21031A0406,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
21031A0406,NETWORK ANALYSIS,F,0
21031A0406,BASIC ELECTRICAL ENGINEERING,E,3
21031A0407,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0411,APPLIED PHYSICS,D,3
21031A0411,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
21031A0413,APPLIED PHYSICS,D,3
21031A0413,NETWORK ANALYSIS,F,0
21031A0413,BASIC ELECTRICAL ENGINEERING,F,0
21031A0413,ELECTRONIC WORKSHOP LABORATORY,C,1.5
21031A0414,APPLIED PHYSICS,ABSENT,0
21031A0418,APPLIED PHYSICS,F,0
21031A0418,NETWORK ANALYSIS,F,0
21031A0418,BASIC ELECTRICAL ENGINEERING,F,0
21031A0419,APPLIED PHYSICS,D,3
21031A0419,NETWORK ANALYSIS,F,0
21031A0422,APPLIED PHYSICS,ABSENT,0
21031A0422,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,D,3
21031A0422,NETWORK ANALYSIS,D,3
21031A0422,BASIC ELECTRICAL ENGINEERING,F,0
21031A0424,NETWORK ANALYSIS,F,0
21031A0425,BASIC ELECTRICAL ENGINEERING,F,0
21031A0426,APPLIED PHYSICS,D,3
21031A0426,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
21031A0428,APPLIED PHYSICS,ABSENT,0
21031A0428,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0428,NETWORK ANALYSIS,F,0
21031A0430,APPLIED PHYSICS,C,3
21031A0431,NETWORK ANALYSIS,F,0
21031A0433,APPLIED PHYSICS,F,0
21031A0433,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0433,NETWORK ANALYSIS,F,0
21031A0433,BASIC ELECTRICAL ENGINEERING,F,0
21031A0433,APPLIED PHYSICS LABORATORY,B,1.5
21031A0433,ELECTRONIC WORKSHOP LABORATORY,C,1.5
21031A0434,APPLIED PHYSICS,C,3
21031A0434,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0434,NETWORK ANALYSIS,E,3
21031A0434,BASIC ELECTRICAL ENGINEERING,ABSENT,0
21031A0437,BASIC ELECTRICAL ENGINEERING,ABSENT,0
21031A0438,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0448,APPLIED PHYSICS,F,0
21031A0448,NETWORK ANALYSIS,F,0
21031A0448,BASIC ELECTRICAL ENGINEERING,F,0
21031A0449,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,ABSENT,0
21031A0450,ELECTRONIC WORKSHOP LABORATORY,B,1.5
21031A0451,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
21031A0452,APPLIED PHYSICS,F,0
21031A0452,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0452,BASIC ELECTRICAL ENGINEERING,F,0
21031A0453,APPLIED PHYSICS,C,3
21031A0453,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
21031A0453,NETWORK ANALYSIS,F,0
21031A0453,BASIC ELECTRICAL ENGINEERING,E,3
21031A0455,NETWORK ANALYSIS,E,3
21031A0457,APPLIED PHYSICS,C,3
21031A0457,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0457,BASIC ELECTRICAL ENGINEERING,F,0
21031A0458,APPLIED PHYSICS,C,3
21031A0458,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0458,NETWORK ANALYSIS,F,0
21031A0460,NETWORK ANALYSIS,F,0
21031A0460,BASIC ELECTRICAL ENGINEERING,F,0
21031A0461,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
21031A0461,BASIC ELECTRICAL ENGINEERING,F,0
21031A0504,COMPUTER ORGANIZATION,F,0
21031A0505,DATA STRUCTURES,D,3
21031A0510,MATHEMATICS-II,F,0
21031A0510,DATA STRUCTURES,E,3
21031A0510,PYTHON PROGRAMMING,F,0
21031A0525,COMPUTER ORGANIZATION,F,0
21031A0525,PYTHON PROGRAMMING,F,0
21031A0526,APPLIED CHEMISTRY,E,3
21031A0526,COMPUTER ORGANIZATION,E,3
21031A0526,PYTHON PROGRAMMING,F,0
21031A0526,DATA STRUCTURES LABORATORY,B,1.5
21031A0539,PYTHON PROGRAMMING,F,0
21031A0542,MATHEMATICS-II,F,0
21031A0542,APPLIED CHEMISTRY,F,0
21031A0542,COMPUTER ORGANIZATION,F,0
21031A0542,DATA STRUCTURES,F,0
21031A0542,PYTHON PROGRAMMING,F,0
21031A0555,PYTHON PROGRAMMING,F,0
21031A0559,PYTHON PROGRAMMING,F,0
21031A0560,MATHEMATICS-II,F,0
